date,level-current,level-chained,change-current,change-chained
4/1/1947,246.3,1932.3,6.4,-0.4
7/1/1947,250.1,1930.3,17.3,6.4
10/1/1947,260.3,1960.7,9.3,6
1/1/1948,266.2,1989.5,10.5,6.7
4/1/1948,272.9,2021.9,10,2.3
7/1/1948,279.5,2033.2,1.7,0.4
10/1/1948,280.7,2035.3,-7.3,-5.4
1/1/1949,275.4,2007.5,-5.2,-1.3
4/1/1949,271.7,2000.8,2.3,4.5
7/1/1949,273.3,2022.8,-3.3,-3.5
10/1/1949,271,2004.7,16,16.9
1/1/1950,281.2,2084.6,14.3,12.7
4/1/1950,290.7,2147.6,26.8,16.3
7/1/1950,308.5,2230.4,16.2,8
10/1/1950,320.3,2273.4,21.6,5.6
1/1/1951,336.4,2304.5,10,7.1
4/1/1951,344.5,2344.5,8.8,8.5
7/1/1951,351.8,2392.8,5.6,0.9
10/1/1951,356.6,2398.1,4.1,4.3
1/1/1952,360.2,2423.5,1.4,0.8
4/1/1952,361.4,2428.5,7.6,2.9
7/1/1952,368.1,2446.1,15.1,13.8
10/1/1952,381.2,2526.4,7.8,7.7
1/1/1953,388.5,2573.4,4,3.2
4/1/1953,392.3,2593.5,-0.6,-2.2
7/1/1953,391.7,2578.9,-5.2,-5.9
10/1/1953,386.5,2539.8,-0.6,-1.8
1/1/1954,385.9,2528,0.8,0.4
4/1/1954,386.7,2530.7,5.1,4.6
7/1/1954,391.6,2559.4,9.2,8
10/1/1954,400.3,2609.3,14.1,11.9
1/1/1955,413.8,2683.8,8.4,6.7
4/1/1955,422.2,2727.5,8.5,5.5
7/1/1955,430.9,2764.1,6.5,2.4
10/1/1955,437.8,2780.8,2.5,-1.5
1/1/1956,440.5,2770,5.8,3.4
4/1/1956,446.8,2792.9,4.7,-0.3
7/1/1956,452,2790.6,8.5,6.7
10/1/1956,461.3,2836.2,8.3,2.6
1/1/1957,470.6,2854.5,1.9,-0.9
4/1/1957,472.8,2848.2,6.5,4
7/1/1957,480.3,2875.9,-3.8,-4
10/1/1957,475.7,2846.4,-6,-10
1/1/1958,468.4,2772.7,3.8,2.6
4/1/1958,472.8,2790.9,12.3,9.6
7/1/1958,486.7,2855.5,11.8,9.7
10/1/1958,500.4,2922.3,8.8,7.7
1/1/1959,511.1,2976.6,10.7,10.1
4/1/1959,524.2,3049,0.7,-0.8
7/1/1959,525.2,3043.1,3.2,1.6
10/1/1959,529.3,3055.1,11,9.2
1/1/1960,543.3,3123.2,-0.5,-1.5
4/1/1960,542.7,3111.3,2.5,1
7/1/1960,546,3119.1,-3.6,-4.8
10/1/1960,541.1,3081.3,3.7,2.7
1/1/1961,545.9,3102.3,8.7,7.6
4/1/1961,557.4,3159.9,8,6.8
7/1/1961,568.2,3212.6,9.8,8.3
10/1/1961,581.6,3277.7,9.7,7.4
1/1/1962,595.2,3336.8,5.1,4.4
4/1/1962,602.6,3372.7,4.7,3.9
7/1/1962,609.6,3404.8,2.4,1.6
10/1/1962,613.1,3418,6.4,4.5
1/1/1963,622.7,3456.1,6,5.3
4/1/1963,631.8,3501.1,8.6,8
7/1/1963,645,3569.5,6.3,2.9
10/1/1963,654.8,3595,10.3,8.9
1/1/1964,671.1,3672.7,5.9,4.8
4/1/1964,680.8,3716.4,7.3,5.5
7/1/1964,692.8,3766.9,3.3,1.4
10/1/1964,698.4,3780.2,12.5,10.2
1/1/1965,719.2,3873.5,7.5,5.6
4/1/1965,732.4,3926.4,10.1,8.4
7/1/1965,750.2,4006.2,12.8,9.8
10/1/1965,773.1,4100.6,13.1,10.2
1/1/1966,797.3,4201.9,5,1.6
4/1/1966,807.2,4219.1,6.9,2.9
7/1/1966,820.8,4249.2,7,3.5
10/1/1966,834.9,4285.6,5.5,3.7
1/1/1967,846,4324.9,2.4,0.3
4/1/1967,851.1,4328.7,7.5,3.5
7/1/1967,866.6,4366.1,7.9,3.2
10/1/1967,883.2,4401.2,13.3,8.4
1/1/1968,911.1,4490.6,11.5,6.9
4/1/1968,936.3,4566.4,7,2.9
7/1/1968,952.3,4599.3,7.7,1.8
10/1/1968,970.1,4619.8,10.8,6.4
1/1/1969,995.4,4691.6,6.6,1.3
4/1/1969,1011.4,4706.7,8.4,2.5
7/1/1969,1032,4736.1,3.4,-1.7
10/1/1969,1040.7,4715.5,5,-0.7
1/1/1970,1053.5,4707.1,6.4,0.7
4/1/1970,1070.1,4715.4,7,3.6
7/1/1970,1088.5,4757.2,1.1,-4
10/1/1970,1091.5,4708.3,18.1,11.1
1/1/1971,1137.8,4834.3,7.8,2.3
4/1/1971,1159.4,4861.9,7.4,3.2
7/1/1971,1180.3,4900,4.6,1.2
10/1/1971,1193.6,4914.3,14.2,7.4
1/1/1972,1233.8,5002.4,12.3,9.6
4/1/1972,1270.1,5118.3,7.7,3.7
7/1/1972,1293.8,5165.4,12.3,6.8
10/1/1972,1332,5251.2,15.4,10.2
1/1/1973,1380.7,5380.5,11.1,4.6
4/1/1973,1417.6,5441.5,5.5,-2.2
7/1/1973,1436.8,5411.9,12.3,3.8
10/1/1973,1479.1,5462.4,4.3,-3.3
1/1/1974,1494.7,5417,11,1.1
4/1/1974,1534.2,5431.3,7.8,-3.8
7/1/1974,1563.4,5378.7,10.5,-1.6
10/1/1974,1603,5357.2,4.2,-4.7
1/1/1975,1619.6,5292.4,9.4,3.1
4/1/1975,1656.4,5333.2,14.6,6.8
7/1/1975,1713.8,5421.4,12.7,5.5
10/1/1975,1765.9,5494.4,14,9.3
1/1/1976,1824.5,5618.5,7.3,3.1
4/1/1976,1856.9,5661,7.4,2.1
7/1/1976,1890.5,5689.8,10.5,3
10/1/1976,1938.4,5732.5,11.6,4.7
1/1/1977,1992.5,5799.2,14.3,8.1
4/1/1977,2060.2,5913,12.6,7.3
7/1/1977,2122.4,6017.6,9,0
10/1/1977,2168.7,6018.2,7.6,1.4
1/1/1978,2208.7,6039.2,25.2,16.5
4/1/1978,2336.6,6274,11.1,4
7/1/1978,2398.9,6335.3,14.6,5.5
10/1/1978,2482.2,6420.3,8.2,0.8
1/1/1979,2531.6,6433,10.6,0.5
4/1/1979,2595.9,6440.8,12,2.9
7/1/1979,2670.4,6487.1,9.3,1
10/1/1979,2730.7,6503.9,10,1.3
1/1/1980,2796.5,6524.9,0.5,-7.9
4/1/1980,2799.9,6392.6,8.9,-0.6
7/1/1980,2860,6382.9,20,7.6
10/1/1980,2993.5,6501.2,19.8,8.5
1/1/1981,3131.8,6635.7,4.6,-2.9
4/1/1981,3167.3,6587.3,12.4,4.7
7/1/1981,3261.2,6662.9,2.8,-4.6
10/1/1981,3283.5,6585.1,-1.2,-6.5
1/1/1982,3273.8,6475,7.2,2.2
4/1/1982,3331.3,6510.2,4.4,-1.4
7/1/1982,3367.1,6486.8,4.9,0.4
10/1/1982,3407.8,6493.1,8.8,5.3
1/1/1983,3480.3,6578.2,12.4,9.4
4/1/1983,3583.8,6728.3,12.7,8.1
7/1/1983,3692.3,6860,11.7,8.5
10/1/1983,3796.1,7001.5,12.9,8.2
1/1/1984,3912.8,7140.6,10.9,7.2
4/1/1984,4015,7266,7.4,4
7/1/1984,4087.4,7337.5,6,3.2
10/1/1984,4147.6,7396,8.9,4
1/1/1985,4237,7469.5,6.3,3.7
4/1/1985,4302.3,7537.9,8.9,6.4
7/1/1985,4394.6,7655.2,5.4,3
10/1/1985,4453.1,7712.6,5.8,3.8
1/1/1986,4516.3,7784.1,3.5,1.9
4/1/1986,4555.2,7819.8,5.8,4.1
7/1/1986,4619.6,7898.6,4.4,2.1
10/1/1986,4669.4,7939.5,5.8,2.8
1/1/1987,4736.2,7995,7.4,4.6
4/1/1987,4821.5,8084.7,6.7,3.7
7/1/1987,4900.5,8158,10.4,6.8
10/1/1987,5022.7,8292.7,5.5,2.3
1/1/1988,5090.6,8339.3,9.5,5.4
4/1/1988,5207.7,8449.5,7.2,2.3
7/1/1988,5299.5,8498.3,8.8,5.4
10/1/1988,5412.7,8610.9,8.7,4.1
1/1/1989,5527.4,8697.7,7.5,3.2
4/1/1989,5628.4,8766.1,6,3
7/1/1989,5711.6,8831.5,3.7,0.9
10/1/1989,5763.4,8850.2,9.1,4.5
1/1/1990,5890.8,8947.1,5.8,1.6
4/1/1990,5974.7,8981.7,3.7,0.1
7/1/1990,6029.5,8983.9,-0.4,-3.4
10/1/1990,6023.3,8907.4,2.1,-1.9
1/1/1991,6054.9,8865.6,6,3.1
4/1/1991,6143.6,8934.4,5,1.9
7/1/1991,6218.4,8977.3,4,1.8
10/1/1991,6279.3,9016.4,6.6,4.8
1/1/1992,6380.8,9123,7.2,4.5
4/1/1992,6492.3,9223.5,5.9,3.9
7/1/1992,6586.5,9313.2,6.9,4.1
10/1/1992,6697.6,9406.5,3.1,0.8
1/1/1993,6748.2,9424.1,4.9,2.4
4/1/1993,6829.6,9480.1,4.4,2
7/1/1993,6904.2,9526.3,7.7,5.4
10/1/1993,7032.8,9653.5,6,4
1/1/1994,7136.3,9748.2,7.7,5.6
4/1/1994,7269.8,9881.4,4.6,2.4
7/1/1994,7352.3,9939.7,6.9,4.6
10/1/1994,7476.7,10052.5,3.7,1.4
1/1/1995,7545.3,10086.9,3.2,1.4
4/1/1995,7604.9,10122.1,5.5,3.5
7/1/1995,7706.5,10208.8,4.9,2.9
10/1/1995,7799.5,10281.2,4.9,2.7
1/1/1996,7893.1,10348.7,8.8,7.2
4/1/1996,8061.5,10529.4,4.9,3.7
7/1/1996,8159,10626.8,6.4,4.3
10/1/1996,8287.1,10739.1,5.7,3.1
1/1/1997,8402.1,10820.9,7.3,6.2
4/1/1997,8551.9,10984.2,6.7,5.2
7/1/1997,8691.8,11124,4.5,3.1
10/1/1997,8788.3,11210.3,4.7,4
1/1/1998,8889.7,11321.2,4.8,3.9
4/1/1998,8994.7,11431,6.9,5.3
7/1/1998,9146.5,11580.6,8.1,6.7
10/1/1998,9325.7,11770.7,5.3,3.2
1/1/1999,9447.1,11864.7,4.7,3.3
4/1/1999,9557,11962.5,6.7,5.1
7/1/1999,9712.3,12113.1,9.1,7.1
10/1/1999,9926.1,12323.3,4.3,1.2
1/1/2000,10031,12359.1,10.2,7.8
4/1/2000,10278.3,12592.5,3.1,0.5
7/1/2000,10357.4,12607.7,4.5,2.3
10/1/2000,10472.3,12679.3,1.4,-1.1
1/1/2001,10508.1,12643.3,5.1,2.1
4/1/2001,10638.4,12710.3,0,-1.3
7/1/2001,10639.5,12670.1,2.3,1.1
10/1/2001,10701.3,12705.3,5.1,3.7
1/1/2002,10834.4,12822.3,3.8,2.2
4/1/2002,10934.8,12893,3.8,2
7/1/2002,11037.1,12955.8,2.4,0.3
10/1/2002,11103.8,12964,4.6,2.1
1/1/2003,11230.1,13031.2,5.1,3.8
4/1/2003,11370.7,13152.1,9.3,6.9
7/1/2003,11625.1,13372.4,6.8,4.8
10/1/2003,11816.8,13528.7,5.9,2.3
1/1/2004,11988.4,13606.5,6.6,3
4/1/2004,12181.4,13706.2,6.3,3.7
7/1/2004,12367.7,13830.8,6.4,3.5
10/1/2004,12562.2,13950.4,8.3,4.3
1/1/2005,12813.7,14099.1,5.1,2.1
4/1/2005,12974.1,14172.7,7.3,3.4
7/1/2005,13205.4,14291.8,5.4,2.3
10/1/2005,13381.6,14373.4,8.2,4.9
1/1/2006,13648.9,14546.1,4.5,1.2
4/1/2006,13799.8,14589.6,3.2,0.4
7/1/2006,13908.5,14602.6,4.6,3.2
10/1/2006,14066.4,14716.9,4.8,0.2
1/1/2007,14233.2,14726,5.4,3.1
4/1/2007,14422.3,14838.7,4.2,2.7
7/1/2007,14569.7,14938.5,3.2,1.4
10/1/2007,14685.3,14991.8,-0.5,-2.7
1/1/2008,14668.4,14889.5,4,2
4/1/2008,14813,14963.4,0.8,-1.9
7/1/2008,14843,14891.6,-7.7,-8.2
10/1/2008,14549.9,14577,-4.5,-5.4
1/1/2009,14383.9,14375,-1.2,-0.5
4/1/2009,14340.4,14355.6,1.2,1.3
7/1/2009,14384.1,14402.5,5.2,3.9
10/1/2009,14566.5,14541.9,3.2,1.7
1/1/2010,14681.1,14604.8,5.8,3.9
4/1/2010,14888.6,14745.9,4.6,2.7
7/1/2010,15057.7,14845.5,4.7,2.5
10/1/2010,15230.2,14939,0.2,-1.5
1/1/2011,15238.4,14881.3,6,2.9
4/1/2011,15460.9,14989.6,3.3,0.8
7/1/2011,15587.1,15021.1,5.2,4.6
10/1/2011,15785.3,15190.3,4.9,2.7
1/1/2012,15973.9,15291,3.8,1.9
4/1/2012,16121.9,15362.4,2.7,0.5
7/1/2012,16227.9,15380.8,1.7,0.1
10/1/2012,16297.3,15384.3,4.4,2.8
1/1/2013,16475.4,15491.9,1.6,0.8
4/1/2013,16541.4,15521.6,5.1,3.1
7/1/2013,16749.3,15641.3,6.1,4
10/1/2013,16999.9,15793.9,0.7,-0.9
1/1/2014,17031.3,15757.6,7,4.6
4/1/2014,17320.9,15935.8,7.1,5.2
7/1/2014,17622.3,16139.5,2.6,2
10/1/2014,17735.9,16220.2,3.2,3.2
1/1/2015,17874.7,16350,5,2.7
4/1/2015,18093.2,16460.9,3,1.6
7/1/2015,18227.7,16527.6,1.3,0.5
10/1/2015,18287.2,16547.6,0.8,0.6
1/1/2016,18325.2,16571.6,4.7,2.2
4/1/2016,18538,16663.5,4.2,2.8
7/1/2016,18729.1,16778.1,3.8,1.8
10/1/2016,18905.5,16851.4,3.3,1.2
1/1/2017,19057.7,16903.2,4.1,3.1
4/1/2017,19250,17031.1,5.2,3
